Date,Open,High,Low,Close,Volume,AdjClose
2/28/1986,13641,13641,13641,13641,0,13641
3/3/1986,13768,13768,13768,13768,0,13768
3/4/1986,13785,13785,13785,13785,0,13785
3/5/1986,13807,13807,13807,13807,0,13807
3/6/1986,13902,13902,13902,13902,0,13902
3/7/1986,13995,13995,13995,13995,0,13995
3/10/1986,14057,14057,14057,14057,0,14057
3/11/1986,14066,14066,14066,14066,0,14066
3/12/1986,14238,14238,14238,14238,0,14238
3/13/1986,14415,14415,14415,14415,0,14415
3/14/1986,14517,14517,14517,14517,0,14517
3/17/1986,14656,14656,14656,14656,0,14656
3/18/1986,14639,14639,14639,14639,0,14639
3/19/1986,14477,14477,14477,14477,0,14477
3/20/1986,14753,14753,14753,14753,0,14753
3/21/1986,15014,15014,15014,15014,0,15014
3/24/1986,14975,14975,14975,14975,0,14975
3/25/1986,14827,14827,14827,14827,0,14827
3/27/1986,15337,15337,15337,15337,0,15337
3/31/1986,15860,15860,15860,15860,0,15860
4/1/1986,15746,15746,15746,15746,0,15746
4/2/1986,15556,15556,15556,15556,0,15556
4/3/1986,15272,15272,15272,15272,0,15272
4/4/1986,15020,15020,15020,15020,0,15020
4/7/1986,15062,15062,15062,15062,0,15062
4/8/1986,15014,15014,15014,15014,0,15014
4/9/1986,15110,15110,15110,15110,0,15110
4/10/1986,15204,15204,15204,15204,0,15204
4/11/1986,15326,15326,15326,15326,0,15326
4/14/1986,15397,15397,15397,15397,0,15397
4/15/1986,15352,15352,15352,15352,0,15352
4/16/1986,15358,15358,15358,15358,0,15358
4/17/1986,15487,15487,15487,15487,0,15487
4/18/1986,15759,15759,15759,15759,0,15759
4/21/1986,15827,15827,15827,15827,0,15827
4/22/1986,15713,15713,15713,15713,0,15713
4/23/1986,15748,15748,15748,15748,0,15748
4/24/1986,15682,15682,15682,15682,0,15682
4/25/1986,15690,15690,15690,15690,0,15690
4/28/1986,15758,15758,15758,15758,0,15758
4/30/1986,15826,15826,15826,15826,0,15826
5/1/1986,15783,15783,15783,15783,0,15783
5/6/1986,15900,15900,15900,15900,0,15900
5/7/1986,15954,15954,15954,15954,0,15954
5/8/1986,16078,16078,16078,16078,0,16078
5/9/1986,16105,16105,16105,16105,0,16105
5/12/1986,16195,16195,16195,16195,0,16195
5/13/1986,15982,15982,15982,15982,0,15982
5/14/1986,15944,15944,15944,15944,0,15944
5/15/1986,15925,15925,15925,15925,0,15925
5/16/1986,15739,15739,15739,15739,0,15739
5/19/1986,15698,15698,15698,15698,0,15698
5/20/1986,15690,15690,15690,15690,0,15690
5/21/1986,15808,15808,15808,15808,0,15808
5/22/1986,15917,15917,15917,15917,0,15917
5/23/1986,16205,16205,16205,16205,0,16205
5/26/1986,16410,16410,16410,16410,0,16410
5/27/1986,16467,16467,16467,16467,0,16467
5/28/1986,16553,16553,16553,16553,0,16553
5/29/1986,16611,16611,16611,16611,0,16611
5/30/1986,16739,16739,16739,16739,0,16739
6/2/1986,16739,16739,16739,16739,0,16739
6/3/1986,16670,16670,16670,16670,0,16670
6/4/1986,16803,16803,16803,16803,0,16803
6/5/1986,16811,16811,16811,16811,0,16811
6/6/1986,16818,16818,16818,16818,0,16818
6/9/1986,17008,17008,17008,17008,0,17008
6/10/1986,16968,16968,16968,16968,0,16968
6/11/1986,17096,17096,17096,17096,0,17096
6/12/1986,17131,17131,17131,17131,0,17131
6/13/1986,17206,17206,17206,17206,0,17206
6/16/1986,17186,17186,17186,17186,0,17186
6/17/1986,17076,17076,17076,17076,0,17076
6/18/1986,17177,17177,17177,17177,0,17177
6/19/1986,17278,17278,17278,17278,0,17278
6/20/1986,17403,17403,17403,17403,0,17403
6/23/1986,17458,17458,17458,17458,0,17458
6/24/1986,17342,17342,17342,17342,0,17342
6/25/1986,17517,17517,17517,17517,0,17517
6/26/1986,17601,17601,17601,17601,0,17601
6/27/1986,17500,17500,17500,17500,0,17500
6/30/1986,17654,17654,17654,17654,0,17654
7/1/1986,17623,17623,17623,17623,0,17623
7/2/1986,17670,17670,17670,17670,0,17670
7/3/1986,17692,17692,17692,17692,0,17692
7/4/1986,17598,17598,17598,17598,0,17598
7/7/1986,17714,17714,17714,17714,0,17714
7/8/1986,17734,17734,17734,17734,0,17734
7/9/1986,17506,17506,17506,17506,0,17506
7/10/1986,17470,17470,17470,17470,0,17470
7/11/1986,17670,17670,17670,17670,0,17670
7/14/1986,17821,17821,17821,17821,0,17821
7/15/1986,17883,17883,17883,17883,0,17883
7/16/1986,17701,17701,17701,17701,0,17701
7/17/1986,17726,17726,17726,17726,0,17726
7/18/1986,17839,17839,17839,17839,0,17839
7/21/1986,17522,17522,17522,17522,0,17522
